                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1992,                 4.4489,                 4.2021,                0.00018,                0.01087,                  9e-05,                  1e-05,                 2.7669,                 4.3209,                 4.1587,               1.25e-05,               1.25e-05,               1.25e-05
                      2,                 3.1973,                 4.4531,                 4.2526,                0.00018,                0.01087,                 0.0001,                  1e-05,                 2.7667,                  4.321,                 4.1582,             3.7129e-05,             3.7129e-05,             3.7129e-05
                      3,                 3.1829,                 4.4159,                 4.2489,                0.00018,                0.01087,                0.00012,                  1e-05,                 2.7664,                 4.3184,                  4.158,             6.1263e-05,             6.1263e-05,             6.1263e-05
                      4,                 3.1395,                 4.4268,                 4.2154,                0.00018,                0.01087,                0.00013,                  1e-05,                 2.7647,                 4.3186,                 4.1569,             8.4901e-05,             8.4901e-05,             8.4901e-05
                      5,                 3.3151,                 4.4266,                 4.2132,                0.00018,                0.01087,                0.00018,                  2e-05,                 2.7652,                 4.3181,                 4.1567,             0.00010804,             0.00010804,             0.00010804
                      6,                 3.2051,                 4.3889,                 4.2236,                0.00018,                0.01087,                0.00012,                  1e-05,                 2.7644,                 4.3149,                 4.1551,             0.00013069,             0.00013069,             0.00013069
                      7,                 3.1757,                 4.3555,                 4.1761,                0.00018,                0.01087,                0.00013,                  1e-05,                 2.7629,                 4.3141,                 4.1536,             0.00015285,             0.00015285,             0.00015285
                      8,                 3.0225,                 4.3257,                 4.1798,                0.00018,                0.01087,                0.00012,                  1e-05,                 2.7623,                 4.3089,                 4.1519,             0.00017451,             0.00017451,             0.00017451
                      9,                 3.2537,                 4.2875,                  4.162,                0.00018,                0.01087,                0.00013,                  3e-05,                 2.7621,                 4.3097,                 4.1508,             0.00019567,             0.00019567,             0.00019567
                     10,                 3.3433,                 4.3298,                 4.1552,                0.00018,                0.01087,                0.00012,                  1e-05,                 2.7611,                 4.3054,                 4.1488,             0.00021634,             0.00021634,             0.00021634
                     11,                 3.0973,                 4.2412,                 4.1389,                0.00018,                0.01087,                0.00015,                  3e-05,                 2.7609,                 4.3057,                  4.147,             0.00023651,             0.00023651,             0.00023651
                     12,                 3.3512,                 4.2416,                 4.1241,                0.00019,                0.01087,                0.00018,                  2e-05,                 2.7595,                 4.3013,                 4.1444,             0.00025619,             0.00025619,             0.00025619
                     13,                 3.2056,                 4.1676,                 4.1215,                0.00018,                0.01087,                0.00018,                  4e-05,                 2.7571,                  4.298,                 4.1414,             0.00027538,             0.00027538,             0.00027538
                     14,                 3.2028,                 4.1631,                 4.1029,                0.00019,                0.01087,                0.00017,                  3e-05,                 2.7572,                 4.2948,                 4.1378,             0.00029406,             0.00029406,             0.00029406
                     15,                 3.1296,                 4.1608,                 4.0679,                0.00019,                0.01087,                0.00017,                  3e-05,                 2.7544,                 4.2911,                 4.1346,             0.00031226,             0.00031226,             0.00031226
                     16,                 3.0484,                 3.9765,                 4.0492,                0.00019,                0.01087,                0.00011,                  1e-05,                 2.7502,                 4.2897,                 4.1311,             0.00032996,             0.00032996,             0.00032996
                     17,                 3.1989,                 3.9551,                 4.0217,                0.00018,                0.01087,                0.00013,                  1e-05,                 2.7474,                 4.2883,                 4.1277,             0.00034716,             0.00034716,             0.00034716
                     18,                 3.1476,                 3.8567,                 3.9884,                0.00019,                0.01087,                0.00012,                  1e-05,                 2.7464,                 4.2867,                 4.1243,             0.00036387,             0.00036387,             0.00036387
                     19,                 3.2113,                 3.6934,                 3.9784,                0.00018,                0.01087,                0.00013,                  1e-05,                 2.7444,                 4.2898,                 4.1227,             0.00038008,             0.00038008,             0.00038008
                     20,                 3.1869,                 3.6681,                 3.8998,                0.00018,                0.01087,                0.00012,                  1e-05,                 2.7441,                 4.2949,                 4.1231,              0.0003958,              0.0003958,              0.0003958
                     21,                 3.2848,                 3.6834,                 3.9132,                0.00018,                0.01087,                0.00012,                  1e-05,                 2.7447,                 4.3013,                 4.1258,             0.00041103,             0.00041103,             0.00041103
